year,title,winner,gross_us,gross_int,gross,mc_critics,mc_users,url_wiki,url_imdb,url_metacritic
2003,Lost in Translation,no,44585453,74101484,118686937,91,7.5,/wiki/Lost_in_Translation_(film),tt0335266,https://www.metacritic.com/movie/lost-in-translation/details
2003,Master and Commander: The Far Side of the World,no,93927920,117694615,211622535,81,6.6,/wiki/Master_and_Commander:_The_Far_Side_of_the_World,tt0311113,https://www.metacritic.com/movie/master-and-commander-the-far-side-of-the-world
2003,Mystic River,no,90135191,66460000,156595191,84,7.2,/wiki/Mystic_River_(film),tt0327056,https://www.metacritic.com/movie/mystic-river
2003,Seabiscuit,no,120277854,28058591,148336445,72,7.1,/wiki/Seabiscuit_(film),tt0329575,https://www.metacritic.com/movie/seabiscuit
2004,Million Dollar Baby,yes,100492203,116271443,216763646,86,7.5,/wiki/Million_Dollar_Baby,tt0405159,https://www.metacritic.com/movie/million-dollar-baby
2004,The Aviator,no,102610330,111109612,213719942,77,8.5,/wiki/The_Aviator_(2004_film),tt0338751,https://www.metacritic.com/movie/the-aviator
2004,Finding Neverland,no,51680613,64970000,116650613,67,7.8,/wiki/Finding_Neverland_(film),tt0308644,https://www.metacritic.com/movie/finding-neverland
2004,Ray,no,75331600,48639776,123971376,73,8.4,/wiki/Ray_(film),tt0350258,https://www.metacritic.com/movie/ray
2004,Sideways,no,71503593,38203338,109706931,94,7,/wiki/Sideways,tt0375063,https://www.metacritic.com/movie/sideways
2005,Crash,yes,54580300,43829761,98410061,66,8.5,/wiki/Crash_(2004_film),tt0375679,https://www.metacritic.com/film/titles/crash?q=Crash
2005,Brokeback Mountain,no,83043761,95018998,178062759,87,8.2,/wiki/Brokeback_Mountain,tt0388795,https://www.metacritic.com/movie/brokeback-mountain/
2005,Capote,no,28750530,20576875,49327405,88,7.7,/wiki/Capote_(film),tt0379725,https://www.metacritic.com/movie/capote
2005,"Good Night, and Good Luck",no,31558003,23083188,54641191,80,7.2,"/wiki/Good_Night,_and_Good_Luck",tt0433383,https://www.metacritic.com/movie/good-night-and-good-luck
2005,Munich,no,47403685,83578444,130982129,74,8,/wiki/Munich_(2005_film),tt0408306,https://www.metacritic.com/movie/munich
2006,The Departed,yes,132399394,159081058,291480452,85,7,/wiki/The_Departed,tt0407887,https://www.metacritic.com/movie/the-departed
2006,Babel,no,34302837,101027345,135330182,69,6.7,/wiki/Babel_(film),tt0449467,https://www.metacritic.com/movie/babel
2006,Letters from Iwo Jima,no,13756082,54917146,68673228,89,8.2,/wiki/Letters_from_Iwo_Jima,tt0498380,https://www.metacritic.com/movie/letters-from-iwo-jima
2006,Little Miss Sunshine,no,59891098,41167856,101058954,80,7.5,/wiki/Little_Miss_Sunshine,tt0449059,https://www.metacritic.com/film/titles/littlemisssunshine
2006,The Queen,no,56441711,68481442,124923153,91,6.7,/wiki/The_Queen_(2006_film),tt0436697,https://www.metacritic.com/movie/the-queen
2007,No Country for Old Men,yes,74283625,97343809,171627434,92,7.9,/wiki/No_Country_for_Old_Men,tt0477348,https://www.metacritic.com/movie/no-country-for-old-men
2007,Atonement,no,50927067,80089557,131016624,85,7.8,/wiki/Atonement_(2007_film),tt0783233,https://www.metacritic.com/movie/atonement
2007,Juno,no,143495265,88877416,232372681,81,8.2,/wiki/Juno_(film),tt0467406,https://www.metacritic.com/movie/juno
2007,Michael Clayton,no,49033882,43957953,92991835,82,7.6,/wiki/Michael_Clayton_(film),tt0465538,https://www.metacritic.com/movie/michael-clayton
2007,There Will Be Blood,no,40222514,35959874,76182388,93,8.1,/wiki/There_Will_Be_Blood,tt0469494,https://www.metacritic.com/film/titles/therewillbeblood
2008,Slumdog Millionaire,yes,141319928,237090614,378410542,84,7.8,/wiki/Slumdog_Millionaire,tt1010048,https://www.metacritic.com/movie/slumdog-millionaire
2008,The Curious Case of Benjamin Button,no,127509326,208293460,335802786,70,7.4,/wiki/The_Curious_Case_of_Benjamin_Button_(film),tt0421715,https://www.metacritic.com/film/titles/benjaminbutton2008
2008,Frost/Nixon,no,18622031,8804304,27426335,80,7.8,/wiki/Frost/Nixon_(film),tt0870111,https://www.metacritic.com/film/titles/frostnixon
2008,Milk,no,31841299,22748259,54589558,83,7.6,/wiki/Milk_(2008_American_film),tt1013753,https://www.metacritic.com/movie/milk
2008,The Reader,no,34194407,74708079,108902486,58,7.3,/wiki/The_Reader_(2008_film),tt0976051,https://www.metacritic.com/movie/the-reader
2009,The Hurt Locker,yes,17017811,32241955,49259766,95,7.3,/wiki/The_Hurt_Locker,tt0887912,https://www.metacritic.com/movie/the-hurt-locker
2009,Avatar,no,785221649,2138484377,2923706026,83,7.5,/wiki/Avatar_(2009_film),tt0499549,https://www.metacritic.com/movie/avatar
2009,The Blind Side,no,255982860,53248834,309231694,53,7.4,/wiki/The_Blind_Side_(film),tt0878804,https://www.metacritic.com/movie/the-blind-side
2009,District 9,no,115646235,95242715,210888950,81,8.1,/wiki/District_9,tt1136608,https://www.metacritic.com/film/titles/district9/
2009,An Education,no,12574914,13521938,26096852,85,7.8,/wiki/An_Education,tt1174732,https://www.metacritic.com/movie/an-education
2009,Inglourious Basterds,no,120540719,200917028,321457747,69,7.8,/wiki/Inglourious_Basterds,tt0361748,https://www.metacritic.com/movie/inglourious-basterds
2009,Precious: Based on the Novel 'Push' by Sapphire,no,47566524,16083005,63649529,78,6.3,/wiki/Precious_(film),tt0929632,https://www.metacritic.com/film/titles/precious
2009,A Serious Man,no,9228768,22201566,31430334,85,6.8,/wiki/A_Serious_Man,tt1019452,https://www.metacritic.com/movie/a-serious-man
2009,Up,no,293004164,442094938,735099102,88,8.7,/wiki/Up_(2009_film),tt1049413,https://www.metacritic.com/movie/up
2009,Up in the Air,no,83823381,83019358,166842739,83,7.4,/wiki/Up_in_the_Air_(2009_film),tt1193138,https://www.metacritic.com/movie/up-in-the-air
2010,The King's Speech,yes,138797449,288576868,427374317,88,8.3,/wiki/The_King%27s_Speech,tt1504320,https://www.metacritic.com/movie/the-kings-speech
2010,127 Hours,no,18335230,42403567,60738797,82,8.1,/wiki/127_Hours,tt1542344,https://www.metacritic.com/movie/127-hours
2010,Black Swan,no,106954678,222443368,329398046,79,8.2,/wiki/Black_Swan_(film),tt0947798,https://www.metacritic.com/movie/black-swan
2010,The Fighter,no,93617009,35573860,129190869,79,8.1,/wiki/The_Fighter,tt0964517,https://www.metacritic.com/movie/the-fighter
2010,Inception,no,292587330,544260772,836848102,74,8.8,/wiki/Inception,tt1375666,https://www.metacritic.com/movie/inception
2010,The Kids Are All Right,no,20811365,13947586,34758951,86,7.2,/wiki/The_Kids_Are_All_Right_(film),tt0842926,https://www.metacritic.com/film/titles/kidsareallright2010
2010,The Social Network,no,96962694,127957681,224920375,95,8.2,/wiki/The_Social_Network,tt1285016,https://www.metacritic.com/movie/the-social-network
2010,Toy Story 3,no,415004880,652311221,1067316101,92,8.9,/wiki/Toy_Story_3,tt0435761,https://www.metacritic.com/movie/toy-story-3
